t,f
St. Peter's Basilica,The White House
The Winter Palace,The Capitol Building
Schönbrunn Palace,The Crystal Palace
Sanssouci,The Eiffel Tower
The Forbidden City,The Statue of Liberty
Château de Chambord,Brooklyn Bridge
Blenheim Palace,The Flatiron Building
The Royal Palace of Madrid,The Empire State Building
Catherine Palace,The United Nations Headquarters
Würzburg Residence,The Sydney Opera House
The Grand Palace,The CN Tower
Somerset House,The Sears Tower (now Willis Tower)
The Eremitage,The Guggenheim Museum Bilbao
Neuschwanstein Castle,The Burj Khalifa
The Panthéon,The Louvre Pyramid
Kazan Cathedral,The Hoover Dam
The Royal Pavilion,The Golden Gate Bridge
Potala Palace,The Pentagon
St. Paul's Cathedral,The Chrysler Building
The Red Fort,The Petronas Twin Towers
